Pressão ,L(cm),Volume,Erro_de_volume
0.08,11.95,454.9103569670209,1.9212519017765748
0.16,11.2,426.3594977431492,1.9190891322124521
0.24,9.87,375.7293073861503,1.9155932679648016
0.32,9.67,368.1157449264512,1.9151052403851503
0.4,9.0,342.61031068645923,1.9135423032290633
0.48,8.49,323.19572641422656,1.9124270171390205
0.56,8.0,304.54249838796375,1.911416172424058
0.64,7.63,290.4574078375204,1.9106923609386977
0.72,7.3,277.8950297790169,1.9100754948737433
