Pressão ,L(cm),Volume,Erro_de_volume,Volume_inverso
0.08,11.95,454.9103569670209,1.9212519017765748,0.2198235288963746
0.16,11.2,426.3594977431492,1.919089132212452,0.23454385449211404
0.24,9.87,375.7293073861503,1.9155932679648016,0.26614905474282435
0.32,9.67,368.1157449264512,1.9151052403851505,0.2716536887602561
0.4,9.0,342.61031068645923,1.9135423032290635,0.2918767967012974
0.48,8.49,323.19572641422656,1.9124270171390203,0.30941003183883115
0.56,8.0,304.54249838796375,1.911416172424058,0.3283613962889596
0.64,7.63,290.4574078375204,1.9106923609386977,0.34428455705264444
0.72,7.3,277.8950297790169,1.9100754948737435,0.3598481055221475
