Pressão ,L(cm),Volume
0.08,11.95,454.91035696702085
0.16,11.2,426.35949774314923
0.24,9.87,375.72930738615025
0.32,9.67,368.11574492645116
0.4,9.0,342.61031068645923
0.48,8.49,323.19572641422656
0.56,8.0,304.54249838796375
0.64,7.63,290.4574078375204
0.72,7.3,277.8950297790169
