,Tv,V,erro_V,P,Erro_P,Carnot,Erro_Carnot
0,13,-0.38,0.06,14.440000000000003,4.641578283299766,-0.6923076923076923,0.6048251994878409
1,22,0.05,0.06,0.25,0.6001874707122767,0.0,0.25712973861329
2,29,0.48,0.06,23.039999999999996,5.923565628909668,0.24137931034482762,0.17312984278907295
3,34,0.68,0.06,46.24000000000001,8.61875254082631,0.3529411764705882,0.14012772824440545
4,39,0.97,0.06,94.08999999999999,12.936774758802905,0.4358974358974359,0.1177573342655522
5,44,1.19,0.07,141.60999999999996,18.701545699754334,0.5,0.10163945352271772
6,47,1.3,0.07,169.0,20.834097052668255,0.5319148936170213,0.09396853414452963
